iter	PRAUC	Logloss
220	0.263699358	0.2435554363
221	0.263872889	0.2435246057
222	0.2639746365	0.2435026024
223	0.2641298058	0.2434653013
224	0.2642416836	0.2434325458
225	0.2643573775	0.2434031388
226	0.2645048307	0.2433733099
227	0.2647131538	0.2433364693
228	0.2647433721	0.2433131919
229	0.2648866635	0.2432858576
230	0.2650911985	0.2432544686
231	0.2652465911	0.2432325802
232	0.2653800127	0.2432101065
233	0.2654750161	0.2431901654
234	0.2656718472	0.2431576388
235	0.2657691648	0.2431308606
236	0.2659768278	0.2430932031
237	0.2661589195	0.243064047
238	0.266331462	0.2430229089
239	0.2664391654	0.2429986713
240	0.2665098452	0.2429798058
241	0.2666028668	0.2429597544
242	0.2668372441	0.2429362087
243	0.2668745262	0.2429136915
244	0.2670004502	0.2428938218
245	0.2671343996	0.2428638885
246	0.2672952147	0.2428351442
247	0.2674149083	0.2428177604
248	0.2675408345	0.2427811846
249	0.2676313056	0.242760272
250	0.2677775556	0.2427367757
251	0.2679509895	0.2427050937
252	0.2680333945	0.242687705
253	0.2681607324	0.2426689592
254	0.2682356722	0.2426458131
255	0.2683021041	0.2426235053
256	0.2684066501	0.2425981591
257	0.2685591349	0.242579489
258	0.2686908086	0.2425563017
259	0.2687916699	0.2425230486
260	0.2688905608	0.2424969738
261	0.2689836018	0.2424772851
262	0.2691450781	0.2424559929
263	0.2692794135	0.2424249724
264	0.269348013	0.2424027258
265	0.2694021032	0.2423842292
266	0.2695229374	0.2423619429
267	0.2696239808	0.2423384169
268	0.269814438	0.2423178452
269	0.2700280079	0.2422943749
270	0.2701329789	0.2422622953
271	0.2702913389	0.2422395686
272	0.2704191144	0.2422226674
273	0.2705307925	0.242199323
274	0.2705773633	0.2421792557
275	0.2706768995	0.2421606224
276	0.2707888254	0.2421269559
277	0.2709156201	0.2421033809
278	0.2710601071	0.242064567
279	0.2711246389	0.2420389198
280	0.2713148235	0.2420167119
281	0.2714430972	0.2419955239
282	0.2716486604	0.2419711929
283	0.2718131093	0.2419499708
284	0.2719646509	0.241927153
285	0.2720711124	0.2418926551
286	0.2721575458	0.2418694836
287	0.2723028136	0.2418517444
288	0.2724389749	0.2418295976
289	0.2726006749	0.2418004903
290	0.2727651881	0.2417710272
291	0.2728460342	0.2417504633
292	0.2729560168	0.2417236231
293	0.2730355099	0.2417050606
294	0.2731545176	0.2416767217
295	0.273287554	0.2416517493
296	0.273406432	0.2416334557
297	0.2735220045	0.2416057993
298	0.2736553246	0.2415882088
299	0.2736872288	0.2415686846
300	0.2737454146	0.2415532843
301	0.2738271606	0.2415356552
302	0.273992151	0.241518308
303	0.2740551721	0.2415026847
304	0.2741468515	0.2414842181
305	0.2742301524	0.2414710637
306	0.2743014162	0.2414529531
307	0.2744476417	0.2414374482
308	0.2745338547	0.2414165017
309	0.274588627	0.2414008395
310	0.2746700576	0.2413865299
311	0.2747440919	0.2413658746
312	0.2748725614	0.2413385404
313	0.2749709385	0.2413255896
314	0.2750554353	0.2413036134
315	0.2751271736	0.2412852685
316	0.2752065679	0.2412653773
317	0.2753321941	0.2412485779
318	0.2754501115	0.2412297171
319	0.2755402057	0.2412050871
320	0.2756339778	0.2411921273
321	0.2757357134	0.241167328
322	0.275965381	0.241147933
323	0.2760594643	0.2411272631
324	0.2761688942	0.2411041974
325	0.2762887594	0.2410719093
326	0.2763571248	0.2410616914
327	0.2764305694	0.2410469139
328	0.2765316908	0.2410263205
329	0.2766790789	0.2410078556
330	0.2767351319	0.2409943199
331	0.2768458769	0.240973819
332	0.2768945479	0.2409568015
333	0.2770181032	0.2409372585
334	0.277112901	0.2409198876
335	0.2772096308	0.2409049554
336	0.2772736056	0.240886075
337	0.2773669645	0.2408682298
338	0.2774991709	0.2408444424
339	0.2776215901	0.2408265787
340	0.2777453865	0.2408046373
341	0.2778233706	0.2407918943
342	0.2778971578	0.2407768458
343	0.2780040535	0.2407565103
344	0.2781221993	0.2407405691
345	0.2782059965	0.2407194162
346	0.2782798549	0.2406985857
347	0.2784463574	0.2406805145
348	0.2785468711	0.2406633333
349	0.2786470496	0.2406483437
350	0.2787353127	0.2406338499
351	0.2788315043	0.2406143058
352	0.2789234037	0.2406001193
353	0.2790171722	0.2405845177
354	0.2791016812	0.240572
355	0.2791482414	0.240561134
356	0.2792214389	0.2405453291
357	0.2793259217	0.240530624
358	0.2794108107	0.2405147097
359	0.2794983327	0.2404943178
360	0.2795728544	0.2404798131
361	0.2796995664	0.2404486238
362	0.2798296727	0.2404307428
363	0.2799113124	0.2404156098
364	0.2800026861	0.240396788
365	0.2800766557	0.2403854816
366	0.2801913501	0.2403675838
367	0.280271152	0.2403474866
368	0.2803607026	0.2403294701
369	0.2805139278	0.2403052405
370	0.28069577	0.2402884813
371	0.2808570038	0.240258124
372	0.2810898839	0.2402368921
373	0.2811827822	0.2402214579
374	0.2812776189	0.2402010702
375	0.2813810084	0.2401737269
376	0.2815151057	0.2401520922
377	0.2816151675	0.2401357879
378	0.2817472294	0.2401128183
379	0.2818483445	0.2400903873
380	0.2819585688	0.2400706822
381	0.2820931537	0.2400544578
382	0.2821829829	0.2400242814
383	0.2823228424	0.2399956927
384	0.2823558548	0.2399858879
385	0.2824776003	0.2399707297
386	0.2825804891	0.2399552541
387	0.2826563333	0.2399403236
388	0.2827816815	0.2399170779
389	0.2828913988	0.2398964356
390	0.2829910204	0.2398849519
391	0.2831727764	0.2398656704
392	0.2833089252	0.2398301439
393	0.2834128823	0.2398134723
394	0.2835674591	0.2397883508
395	0.2836674634	0.2397676187
396	0.2837721943	0.2397499623
397	0.2838987225	0.2397298102
398	0.283992686	0.2397143598
399	0.2840999273	0.2396964752
400	0.2842582703	0.2396814321
401	0.284321742	0.2396719206
402	0.2844103971	0.2396565982
403	0.2845519411	0.2396365753
404	0.2846168677	0.2396250682
405	0.2847440414	0.2396033232
406	0.2848631995	0.2395823288
407	0.2849517184	0.2395658489
408	0.2850800623	0.2395385177
409	0.2852558889	0.239519917
410	0.2853071271	0.2395066829
411	0.2854218361	0.2394853625
412	0.2854895239	0.2394655554
413	0.2855710564	0.2394456671
414	0.2856653009	0.2394281754
415	0.2858433128	0.2394072043
416	0.2859452086	0.2393780678
417	0.2860158995	0.2393549149
418	0.2861450088	0.2393375153
419	0.2862176602	0.2393207218
420	0.286286464	0.2393043107
421	0.2864409303	0.2392829361
422	0.2865405704	0.2392644193
423	0.2865993856	0.23924429
424	0.2866772877	0.239227748
425	0.2867306702	0.2392137099
426	0.2869154953	0.2391922373
427	0.2869932148	0.2391744977
428	0.2871077572	0.2391563689
429	0.2871955087	0.2391328039
430	0.2873539029	0.2391167252
431	0.2874415326	0.2391016774
432	0.2876265927	0.2390774626
433	0.2877973272	0.2390578201
434	0.2878750842	0.2390396487
435	0.2880516447	0.2390206295
436	0.2882319672	0.2389998928
437	0.2882928489	0.2389866698
438	0.2884263517	0.2389599636
439	0.2885838846	0.2389430019
440	0.2887285748	0.2389161742
441	0.2888978138	0.2388987118
442	0.2889934903	0.2388839282
443	0.2891071039	0.238868972
444	0.2892501893	0.23884907
445	0.2893976814	0.2388304388
446	0.289581743	0.2388097104
447	0.2896487443	0.2387986818
448	0.2897898551	0.2387774682
449	0.2899112578	0.2387629838
450	0.2899877415	0.2387482989
451	0.2901504704	0.2387303442
452	0.2902814293	0.2387097278
453	0.2904119586	0.2386885084
454	0.2905327118	0.2386725038
455	0.2906241248	0.2386526031
456	0.2907939871	0.238624215
457	0.2909084274	0.238609249
458	0.290993269	0.2385959515
459	0.291131225	0.2385795793
460	0.2913606249	0.2385627282
461	0.2915206245	0.2385450326
462	0.2916603487	0.2385264791
463	0.2917895432	0.2385083964
464	0.2919482373	0.2384807007
465	0.2921042671	0.2384602378
466	0.292280092	0.2384447189
467	0.2923801745	0.2384257087
468	0.292479447	0.2384078363
469	0.2925926498	0.2383934816
470	0.2926996123	0.2383808106
471	0.2928622393	0.2383674606
472	0.2929164514	0.2383579949
473	0.2929785388	0.238344836
474	0.2931184734	0.2383267279
475	0.2932718075	0.2383101462
476	0.2934492593	0.2382928416
477	0.29359928	0.2382735614
478	0.293679233	0.2382464929
479	0.2939087394	0.2382220196
480	0.294021074	0.2382076471
481	0.2941169668	0.2381984121
482	0.2942185186	0.2381701918
483	0.2943459466	0.2381562313
484	0.2944298974	0.2381365802
485	0.2945585688	0.2381125673
486	0.294717231	0.2380950204
487	0.2948718823	0.2380774501
488	0.2949877853	0.2380501968
489	0.2951335597	0.2380325122
490	0.2952032855	0.2380226243
491	0.2953022978	0.2380083533
492	0.2953535274	0.2379995474
493	0.2954326126	0.2379842821
494	0.2955297043	0.2379597559
495	0.2956357573	0.2379409663
496	0.2956624899	0.2379341476
497	0.2958168808	0.2379172463
498	0.2959623962	0.2378995904
499	0.296110518	0.237880113
