iter	Passed	Remaining
446	113560	13464
447	113807	13209
448	114053	12954
449	114287	12698
450	114538	12444
451	114768	12187
452	114998	11931
453	115232	11675
454	115479	11421
455	115726	11166
456	115968	10911
457	116217	10657
458	116460	10402
459	116680	10146
460	116914	9890
461	117155	9636
462	117415	9383
463	117663	9129
464	117917	8875
465	118168	8621
466	118420	8368
467	118650	8112
468	118894	7858
469	119115	7603
470	119355	7348
471	119606	7095
472	119834	6840
473	120072	6586
474	120312	6332
475	120548	6078
476	120783	5823
477	121025	5570
478	121273	5316
479	121544	5064
480	121780	4810
481	122027	4557
482	122259	4303
483	122509	4049
484	122733	3795
485	122961	3542
486	123183	3288
487	123414	3034
488	123683	2782
489	123953	2529
490	124219	2276
491	124499	2024
492	124779	1771
493	125030	1518
494	125257	1265
495	125506	1012
496	125747	759
497	125978	505
498	126221	252
499	126461	0
